restaurant_id,year,total_revenue_eur,total_costs_eur,ebitda_eur,net_profit_eur,total_debt_eur,total_assets_eur
R0001,2023,115830.31,90660.79,25169.52,14451.77,54257.68,119353.08
R0001,2024,106482.54,82718.13,23764.41,20073.13,41525.17,35532.65
R0001,2025,133021.64,82801.1,50220.54,41384.65,49694.86,144246.03
R0002,2023,723409.61,548146.12,175263.49,140940.19,178305.88,816711.53
R0002,2024,620116.06,415037.67,205078.39,152960.88,271257.25,251891.83
R0002,2025,724411.23,578994.04,145417.19,121195.59,161804.12,626726.43
R0003,2023,500256.33,383791.05,116465.28,87725.8,159672.3,186951.71
R0003,2024,547753.66,361478.29,186275.37,161950.45,211282.18,560456.82
R0003,2025,522049.56,413259.9,108789.66,59676.06,197176.96,238251.83
R0004,2023,92388.14,56715.82,35672.32,25527.6,18986.48,67117.32
R0004,2024,78775.08,44596.17,34178.91,25225.37,13098.16,79563.31
R0004,2025,83751.87,60100.44,23651.43,14816.24,17358.12,36952.08
R0005,2023,112487.4,70575.1,41912.3,25652.95,10776.3,134056.5
R0005,2024,107184.0,77773.37,29410.63,17559.94,42354.62,113000.2
R0005,2025,119092.44,70563.85,48528.59,37584.27,15889.62,117250.16
R0006,2023,518571.68,286683.35,231888.33,125784.57,120564.21,432312.6
R0006,2024,502897.41,290054.65,212842.76,148098.99,1970.48,511425.49
R0006,2025,637200.92,458562.48,178638.44,109199.15,150169.42,433567.91
R0007,2023,839024.5,581474.56,257549.94,230283.47,252354.56,900169.44
R0007,2024,757619.74,447588.42,310031.32,277884.11,21447.23,901746.42
R0007,2025,785085.68,560600.12,224485.56,131896.38,21186.08,620258.61
R0008,2023,376718.64,211976.92,164741.72,146882.46,34664.92,368859.37
R0008,2024,348259.56,227504.17,120755.39,86902.57,37573.46,121392.16
R0008,2025,363849.54,221904.1,141945.44,113484.93,203883.49,401319.27
R0009,2023,595790.9,440645.25,155145.65,80844.6,255752.2,245621.78
R0009,2024,503984.71,306434.25,197550.46,129103.31,70882.19,492883.66
R0009,2025,573633.42,448466.53,125166.89,81887.96,124460.68,196038.88
R0010,2023,749584.69,507072.54,242512.15,165720.0,343280.79,546997.36
R0010,2024,793945.8,517175.51,276770.29,208410.25,256935.3,893950.35
R0010,2025,708580.45,541673.18,166907.27,146150.3,268649.25,449819.13
R0011,2023,431674.13,265187.83,166486.3,125201.04,245136.37,414447.71
R0011,2024,433722.17,261850.7,171871.47,129456.97,217366.25,246208.35
R0011,2025,382583.05,280022.98,102560.07,63204.67,56294.9,450642.04
R0012,2023,254583.2,144640.03,109943.17,69081.3,149561.93,237780.91
R0012,2024,277740.52,167069.95,110670.57,57957.94,26095.94,318069.71
R0012,2025,285373.21,162450.41,122922.8,87900.05,32278.46,306097.84
