restaurant_id,legal_name,cuisine_type,city,legal_form,kvk_number,sbi_code,registration_date,is_active,seats,loan_amount_requested_eur,loan_purpose
R0001,Vegan Amsterdam 1,Vegan,Amsterdam,Eenmanszaak,42868828,56102,2002-12-30,True,25,200000,Equipment purchase
R0002,Seafood Rotterdam 2,Seafood,Rotterdam,CV,14265799,56101,2022-06-19,True,108,75000,Renovation
R0003,Italian Nijmegen 3,Italian,Nijmegen,VOF,97226012,56290,2020-09-01,True,76,200000,Expansion
R0004,Indian Zaandam 4,Indian,Zaandam,BV,31429110,56210,2010-06-24,True,24,150000,Renovation
R0005,Mexican Zaandam 5,Mexican,Zaandam,BV,22448136,56210,2007-08-29,True,41,10000,Working capital
R0006,Italian Zaandam 6,Italian,Zaandam,CV,81971316,56101,2009-11-12,True,89,250000,Expansion
R0007,Sushi Breda 7,Sushi,Breda,Eenmanszaak,87490893,56102,2001-07-15,True,120,200000,Equipment purchase
R0008,Sushi Zaandam 8,Sushi,Zaandam,BV,41244663,56101,2008-03-22,True,118,200000,Expansion
R0009,Mexican Utrecht 9,Mexican,Utrecht,Eenmanszaak,38119557,56103,2014-05-14,True,87,25000,Equipment purchase
R0010,Vegan Breda 10,Vegan,Breda,VOF,31931511,56210,2005-09-04,True,136,75000,Inventory
R0011,Mexican Haarlem 11,Mexican,Haarlem,BV,40742311,56101,2007-11-08,True,86,50000,Expansion
R0012,Pizza Rotterdam 12,Pizza,Rotterdam,Eenmanszaak,38538251,56210,2010-01-04,True,39,250000,Expansion
R0013,Burger & Grill Eindhoven 13,Burger & Grill,Eindhoven,VOF,85345555,56290,2004-05-29,True,127,150000,Inventory
R0014,Seafood Leiden 14,Seafood,Leiden,CV,58586340,56102,2017-03-21,True,71,200000,Renovation
R0015,Asian Almere 15,Asian,Almere,BV,24716857,56102,2020-11-09,True,92,75000,Expansion
R0016,Middle Eastern Tilburg 16,Middle Eastern,Tilburg,CV,81016525,56103,2000-11-06,True,78,25000,Equipment purchase
R0017,Fusion Haarlem 17,Fusion,Haarlem,Eenmanszaak,96028436,56103,2003-02-20,True,25,100000,Expansion
R0018,Italian Almere 18,Italian,Almere,Eenmanszaak,77187530,56102,2005-02-04,True,143,10000,Equipment purchase
R0019,Steakhouse Maastricht 19,Steakhouse,Maastricht,VOF,30513739,56103,2011-05-22,True,139,200000,Inventory
R0020,Italian Leiden 20,Italian,Leiden,Eenmanszaak,75579548,56101,2021-10-16,True,52,150000,Working capital
R0021,Italian Den Haag 21,Italian,Den Haag,VOF,86149359,56101,2011-10-18,True,36,200000,Expansion
R0022,Bakery & Café Zaandam 22,Bakery & Café,Zaandam,VOF,27232410,56210,2001-02-07,True,115,50000,Renovation
R0023,Indian Breda 23,Indian,Breda,CV,38427073,56290,2009-11-21,True,22,250000,Renovation
R0024,Steakhouse Tilburg 24,Steakhouse,Tilburg,Eenmanszaak,68800797,56290,2011-12-26,True,77,250000,Renovation
R0025,Mexican Rotterdam 25,Mexican,Rotterdam,BV,88961459,56290,2008-01-30,True,112,200000,Renovation
R0026,Vegan Rotterdam 26,Vegan,Rotterdam,BV,40728046,56101,1998-04-28,True,124,25000,Working capital
R0027,Pizza Breda 27,Pizza,Breda,Eenmanszaak,99788677,56210,2001-03-06,True,65,75000,Renovation
R0028,French Nijmegen 28,French,Nijmegen,VOF,73481353,56210,2023-08-13,True,85,10000,Equipment purchase
R0029,Middle Eastern Groningen 29,Middle Eastern,Groningen,CV,72682989,56101,2017-05-03,True,92,25000,Equipment purchase
R0030,Vegan Tilburg 30,Vegan,Tilburg,Eenmanszaak,24665841,56102,2000-09-20,True,122,150000,Inventory
R0031,Middle Eastern Utrecht 31,Middle Eastern,Utrecht,VOF,47385696,56210,2018-02-15,True,148,150000,Equipment purchase
R0032,Indian Zaandam 32,Indian,Zaandam,BV,16789850,56290,2017-11-17,True,66,250000,Equipment purchase
R0033,Middle Eastern Utrecht 33,Middle Eastern,Utrecht,CV,74606833,56102,2008-08-08,True,72,50000,Equipment purchase
R0034,Italian Tilburg 34,Italian,Tilburg,CV,45594951,56210,2005-05-21,True,146,50000,Inventory
R0035,Pizza Utrecht 35,Pizza,Utrecht,Eenmanszaak,39219319,56101,2019-10-31,True,23,75000,Inventory
R0036,Mexican Arnhem 36,Mexican,Arnhem,BV,16729990,56290,2000-09-25,True,129,25000,Inventory
