restaurant_id,date,amount_eur,direction,category,description
R0001,2025-05-28,294.41,credit,Walk-in Revenue,Daily revenue
R0001,2025-05-28,239.84,debit,Rent,Operating expense
R0001,2025-05-29,344.49,credit,Online Order Revenue,Daily revenue
R0001,2025-05-29,281.18,debit,Loan Repayment,Operating expense
R0001,2025-05-30,369.26,credit,Card Terminal Revenue,Daily revenue
R0001,2025-05-30,246.07,debit,Loan Repayment,Operating expense
R0001,2025-05-31,394.56,credit,Online Order Revenue,Daily revenue
R0001,2025-05-31,191.92,debit,Staff Costs,Operating expense
R0001,2025-06-01,309.86,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-01,201.1,debit,Staff Costs,Operating expense
R0001,2025-06-02,319.93,credit,Online Order Revenue,Daily revenue
R0001,2025-06-02,185.33,debit,Staff Costs,Operating expense
R0001,2025-06-03,361.21,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-03,225.78,debit,Rent,Operating expense
R0001,2025-06-04,276.39,credit,Online Order Revenue,Daily revenue
R0001,2025-06-04,197.98,debit,Marketing,Operating expense
R0001,2025-06-05,348.25,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-05,262.93,debit,Marketing,Operating expense
R0001,2025-06-06,416.05,credit,Online Order Revenue,Daily revenue
R0001,2025-06-06,335.65,debit,Tax,Operating expense
R0001,2025-06-07,352.32,credit,Online Order Revenue,Daily revenue
R0001,2025-06-07,198.9,debit,Utilities,Operating expense
R0001,2025-06-08,249.76,credit,Online Order Revenue,Daily revenue
R0001,2025-06-08,242.94,debit,Loan Repayment,Operating expense
R0001,2025-06-09,302.89,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-09,219.01,debit,Maintenance,Operating expense
R0001,2025-06-10,310.97,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-10,228.63,debit,Miscellaneous,Operating expense
R0001,2025-06-11,378.56,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-11,239.07,debit,Rent,Operating expense
R0001,2025-06-12,329.24,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-12,197.28,debit,Marketing,Operating expense
R0001,2025-06-13,268.18,credit,Online Order Revenue,Daily revenue
R0001,2025-06-13,216.53,debit,Insurance,Operating expense
R0001,2025-06-14,333.46,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-14,295.5,debit,Marketing,Operating expense
R0001,2025-06-15,340.87,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-15,267.99,debit,Marketing,Operating expense
R0001,2025-06-16,315.52,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-16,192.05,debit,Marketing,Operating expense
R0001,2025-06-17,296.76,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-17,208.16,debit,Miscellaneous,Operating expense
R0001,2025-06-18,421.35,credit,Walk-in Revenue,Daily revenue
